C,No. Folds,Accuracy,Error Rate,Sensitivty,Precision,Specificity,False Alarm Rate,F-Measure,AUC,Time
0.1,3,0.9,0.1,0.992570579494799,0.875491480996068,0.709480122324159,0.290519877675841,0.930362116991644,0.851025350909479,27.5181115
0.1,3,0.907,0.093,0.992492492492492,0.882510013351135,0.736526946107784,0.263473053892216,0.934275618374558,0.864509719300138,27.8544965
0.1,3,0.909,0.091,0.989441930618401,0.886486486486487,0.750741839762611,0.249258160237389,0.935138987883108,0.870091885190506,29.820245
0.1,5,0.908333333333333,0.0916666666666667,0.992574257425743,0.885209713024283,0.73469387755102,0.26530612244898,0.935822637106184,0.863634067488381,28.3417804
0.1,5,0.915,0.085,0.995037220843672,0.891111111111111,0.751269035532995,0.248730964467005,0.94021101992966,0.873153128188334,28.4474965
0.1,5,0.92,0.08,0.989690721649485,0.897196261682243,0.792452830188679,0.207547169811321,0.941176470588235,0.891071775919082,28.3744425
0.1,5,0.928333333333333,0.0716666666666667,0.983091787439614,0.918735891647856,0.806451612903226,0.193548387096774,0.949824970828472,0.89477170017142,27.3649455
0.1,5,0.911666666666667,0.0883333333333334,0.989821882951654,0.888127853881279,0.763285024154589,0.236714975845411,0.936221419975933,0.876553453553122,27.8552785
0.1,10,0.93,0.07,0.995260663507109,0.91304347826087,0.775280898876405,0.224719101123595,0.952380952380952,0.885270781191757,27.6899921
0.1,10,0.916666666666667,0.0833333333333334,0.989637305699482,0.892523364485981,0.785046728971963,0.214953271028037,0.938574938574939,0.887342017335722,28.4825601
0.1,10,0.913333333333333,0.0866666666666667,0.98989898989899,0.890909090909091,0.764705882352941,0.235294117647059,0.937799043062201,0.877302436125965,27.9147318
0.1,10,0.93,0.07,1,0.907079646017699,0.778947368421053,0.221052631578947,0.951276102088167,0.889473684210526,27.4315571
0.1,10,0.93,0.07,0.985,0.916279069767442,0.82,0.18,0.949397590361446,0.9025,28.1987474
0.1,10,0.93,0.07,0.99468085106383,0.903381642512077,0.821428571428571,0.178571428571429,0.946835443037975,0.908054711246201,28.8079362
0.1,10,0.933333333333333,0.0666666666666667,0.990610328638498,0.921397379912664,0.793103448275862,0.206896551724138,0.95475113122172,0.89185688845718,28.6474925
0.1,10,0.923333333333333,0.0766666666666667,0.975124378109453,0.91588785046729,0.818181818181818,0.181818181818182,0.944578313253012,0.896653098145635,27.5609738
