C,No. Folds,Accuracy,Error Rate,Sensitivty,Precision,Specificity,False Alarm Rate,F-Measure,AUC,Time
0.5,5,0.97,0.03,0.987277353689567,0.967581047381546,0.93719806763285,0.0628019323671497,0.977329974811083,0.962237710661209,25.8635705
0.5,10,0.976666666666667,0.0233333333333333,0.995260663507109,0.972222222222222,0.932584269662921,0.0674157303370787,0.983606557377049,0.963922466585015,25.6523488
0.5,10,0.963333333333333,0.0366666666666666,0.989637305699482,0.955,0.91588785046729,0.0841121495327103,0.972010178117048,0.952762578083386,25.3253886
0.5,10,0.956666666666667,0.0433333333333333,0.964646464646465,0.969543147208122,0.941176470588235,0.0588235294117647,0.967088607594937,0.95291146761735,25.3503936
0.5,10,0.96,0.04,1,0.944700460829493,0.873684210526316,0.126315789473684,0.971563981042654,0.936842105263158,25.528093
0.5,10,0.956666666666667,0.0433333333333333,0.985,0.951690821256039,0.9,0.1,0.968058968058968,0.9425,25.434096
0.5,10,0.973333333333333,0.0266666666666666,0.98936170212766,0.96875,0.946428571428571,0.0535714285714286,0.978947368421053,0.967895136778116,25.4671799
0.5,10,0.966666666666667,0.0333333333333333,0.990610328638498,0.963470319634703,0.908045977011494,0.0919540229885057,0.976851851851852,0.949328152824996,25.4511843
0.5,10,0.963333333333333,0.0366666666666666,0.965174129353234,0.97979797979798,0.95959595959596,0.0404040404040404,0.972431077694236,0.962385044474597,25.4011652
0.5,10,0.966666666666667,0.0333333333333333,0.98019801980198,0.970588235294118,0.938775510204082,0.0612244897959183,0.975369458128079,0.959486765003031,25.3292491
0.5,10,0.973333333333333,0.0266666666666666,0.994764397905759,0.964467005076142,0.935779816513762,0.0642201834862385,0.979381443298969,0.96527210720976,25.2053406
1,3,0.973,0.027,0.988112927191679,0.972222222222222,0.941896024464832,0.0581039755351682,0.980103168754606,0.965004475828255,26.0422939
1,3,0.965,0.035,0.989489489489489,0.95924308588064,0.916167664670659,0.0838323353293413,0.974131559497413,0.952828577080074,26.2319655
1,3,0.972,0.028,0.980392156862745,0.977443609022556,0.955489614243323,0.0445103857566765,0.978915662650602,0.967940885553034,27.2894755
1,5,0.981666666666667,0.0183333333333333,0.992574257425743,0.980440097799511,0.959183673469388,0.0408163265306123,0.986469864698647,0.975878965447565,27.1297324
1,5,0.961666666666667,0.0383333333333333,0.982630272952854,0.961165048543689,0.918781725888325,0.0812182741116751,0.971779141104294,0.950705999420589,27.4849003
1,5,0.968333333333333,0.0316666666666666,0.989690721649485,0.962406015037594,0.929245283018868,0.0707547169811321,0.975857687420584,0.959468002334176,26.8046539
1,5,0.97,0.03,0.975845410628019,0.980582524271845,0.956989247311828,0.043010752688172,0.978208232445521,0.966417328969924,32.9510282
1,5,0.968333333333333,0.0316666666666666,0.984732824427481,0.9675,0.93719806763285,0.0628019323671497,0.976040353089533,0.960965446030166,26.8174156
1,10,0.983333333333333,0.0166666666666667,0.995260663507109,0.981308411214953,0.955056179775281,0.0449438202247191,0.988235294117647,0.975158421641195,28.4138679
1,10,0.976666666666667,0.0233333333333333,0.989637305699482,0.974489795918367,0.953271028037383,0.0467289719626168,0.982005141388175,0.971454166868432,33.1512308
1,10,0.963333333333333,0.0366666666666666,0.96969696969697,0.974619289340102,0.950980392156863,0.0490196078431373,0.972151898734177,0.960338680926916,30.5375177
1,10,0.966666666666667,0.0333333333333333,1,0.953488372093023,0.894736842105263,0.105263157894737,0.976190476190476,0.947368421052632,31.0906756
1,10,0.963333333333333,0.0366666666666666,0.99,0.956521739130435,0.91,0.09,0.972972972972973,0.95,28.2408216
1,10,0.976666666666667,0.0233333333333333,0.98936170212766,0.973821989528796,0.955357142857143,0.0446428571428571,0.981530343007916,0.972359422492401,25.5466739
1,10,0.973333333333333,0.0266666666666666,0.990610328638498,0.972350230414747,0.931034482758621,0.0689655172413793,0.981395348837209,0.960822405698559,26.2899719
1,10,0.97,0.03,0.965174129353234,0.989795918367347,0.97979797979798,0.0202020202020202,0.977329974811083,0.972486054575607,26.7933798
1,10,0.966666666666667,0.0333333333333333,0.975247524752475,0.975247524752475,0.948979591836735,0.0510204081632653,0.975247524752475,0.962113558294605,25.1552417
1,10,0.97,0.03,0.994764397905759,0.95959595959596,0.926605504587156,0.073394495412844,0.976863753213368,0.960684951246458,25.0334012
