Learning Cycle,N Folds,Accuracy,Error Rate,Sensitivty,Precision,Specificity,False Alarm Rate,F-Measures,AUC,Time
150,5,0.943333333333333,0.0566666666666666,0.955026455026455,0.955026455026455,0.923423423423423,0.0765765765765766,0.955026455026455,0.939224939224939,54.0573416
150,10,0.94,0.0600000000000001,0.948979591836735,0.958762886597938,0.923076923076923,0.0769230769230769,0.953846153846154,0.936028257456829,36.7316494
150,10,0.96,0.04,0.976635514018692,0.967592592592593,0.918604651162791,0.0813953488372093,0.972093023255814,0.947620082590741,37.0006881
150,10,0.966666666666667,0.0333333333333333,0.98974358974359,0.960199004975124,0.923809523809524,0.0761904761904761,0.974747474747475,0.956776556776557,36.9016558
150,10,0.95,0.05,0.961904761904762,0.966507177033493,0.922222222222222,0.0777777777777777,0.964200477326969,0.942063492063492,37.3796292
150,10,0.933333333333333,0.0666666666666667,0.949238578680203,0.949238578680203,0.902912621359223,0.0970873786407767,0.949238578680203,0.926075600019713,37.1732659
150,10,0.95,0.05,0.959798994974874,0.964646464646465,0.930693069306931,0.0693069306930693,0.962216624685139,0.945246032140903,37.2907135
150,10,0.926666666666667,0.0733333333333334,0.955445544554455,0.936893203883495,0.86734693877551,0.13265306122449,0.946078431372549,0.911396241664983,36.9534599
150,10,0.973333333333333,0.0266666666666666,0.985849056603774,0.976635514018692,0.943181818181818,0.0568181818181818,0.981220657276995,0.964515437392796,37.029997
150,10,0.953333333333333,0.0466666666666666,0.983606557377049,0.942408376963351,0.905982905982906,0.094017094017094,0.962566844919786,0.944794731679978,36.7775529
150,10,0.933333333333333,0.0666666666666667,0.943589743589744,0.953367875647668,0.914285714285714,0.0857142857142857,0.948453608247423,0.928937728937729,36.7161652
