Learning Cycle,N Folds,Accuracy,Error Rate,Sensitivty,Precision,Specificity,False Alarm Rate,F-Measures,AUC,Time
50,3,0.942,0.0580000000000001,0.962962962962963,0.951683748169839,0.898461538461538,0.101538461538462,0.957290132547865,0.930712250712251,28.8035258
50,3,0.929,0.071,0.959641255605381,0.935860058309038,0.867069486404834,0.132930513595166,0.94760147601476,0.913355371005107,27.5669128
50,3,0.942,0.0580000000000001,0.971168437025797,0.942562592047128,0.885630498533724,0.114369501466276,0.956651718983558,0.92839946777976,27.5437805
50,5,0.933333333333333,0.0666666666666667,0.95609756097561,0.946859903381642,0.884210526315789,0.115789473684211,0.951456310679612,0.9201540436457,19.5152581
50,5,0.941666666666667,0.0583333333333333,0.97037037037037,0.944711538461538,0.882051282051282,0.117948717948718,0.957369062119367,0.926210826210826,19.4237758
50,5,0.928333333333333,0.0716666666666667,0.954545454545455,0.937965260545906,0.877450980392157,0.122549019607843,0.946182728410513,0.915998217468806,19.4891138
50,5,0.933333333333333,0.0666666666666667,0.966183574879227,0.938967136150235,0.860215053763441,0.139784946236559,0.952380952380952,0.913199314321334,19.2083113
50,5,0.933333333333333,0.0666666666666667,0.96031746031746,0.935567010309278,0.887387387387387,0.112612612612613,0.947780678851175,0.923852423852424,19.906181
50,10,0.946666666666667,0.0533333333333333,0.964285714285714,0.954545454545455,0.913461538461538,0.0865384615384616,0.959390862944162,0.938873626373626,12.8171275
50,10,0.946666666666667,0.0533333333333333,0.962616822429907,0.962616822429907,0.906976744186046,0.0930232558139535,0.962616822429907,0.934796783307977,13.3281469
50,10,0.956666666666667,0.0433333333333333,0.98974358974359,0.946078431372549,0.895238095238095,0.104761904761905,0.967418546365915,0.942490842490843,14.6387503
50,10,0.943333333333333,0.0566666666666666,0.966666666666667,0.953051643192488,0.888888888888889,0.111111111111111,0.959810874704492,0.927777777777778,13.0123842
50,10,0.926666666666667,0.0733333333333334,0.944162436548223,0.944162436548223,0.893203883495146,0.106796116504854,0.944162436548223,0.918683160021684,12.9444648
