NN,N Folds,Accuracy,Error Rate,Sensitivty,Precision,Specificity,False Alarm Rate,F-Measures,AUC,Time
5,10,0.886666666666667,0.113333333333333,0.842105263157895,0.975609756097561,0.963636363636364,0.0363636363636364,0.903954802259887,0.902870813397129,3.7987939
5,10,0.883333333333333,0.116666666666667,0.846153846153846,0.970588235294118,0.952380952380952,0.0476190476190477,0.904109589041096,0.899267399267399,3.793926
5,10,0.89,0.11,0.845360824742268,0.982035928143713,0.971698113207547,0.0283018867924528,0.908587257617729,0.908529468974908,3.7924186
5,10,0.883333333333333,0.116666666666667,0.842857142857143,0.988826815642458,0.977777777777778,0.0222222222222223,0.910025706940874,0.91031746031746,3.7799002
5,10,0.91,0.09,0.884057971014493,0.983870967741935,0.967741935483871,0.032258064516129,0.931297709923664,0.925899953249182,3.7511783
5,10,0.896666666666667,0.103333333333333,0.869346733668342,0.971910112359551,0.95049504950495,0.0495049504950495,0.917771883289125,0.909920891586646,3.7487015
5,10,0.883333333333333,0.116666666666667,0.862745098039216,0.961748633879781,0.927083333333333,0.0729166666666666,0.909560723514212,0.894914215686275,3.7904175
5,10,0.903333333333333,0.0966666666666667,0.902564102564103,0.946236559139785,0.904761904761905,0.0952380952380952,0.923884514435696,0.903663003663004,3.7716655
5,10,0.906666666666667,0.0933333333333334,0.885572139303483,0.972677595628415,0.94949494949495,0.0505050505050505,0.927083333333333,0.917533544399216,3.7523671
5,10,0.873333333333333,0.126666666666667,0.845410628019324,0.966850828729282,0.935483870967742,0.0645161290322581,0.902061855670103,0.890447249493533,3.753327
10,3,0.889,0.111,0.86046511627907,0.963541666666667,0.940845070422535,0.0591549295774648,0.909090909090909,0.900655093350802,8.4789629
10,3,0.894,0.106,0.863033873343152,0.978297161936561,0.959501557632399,0.0404984423676013,0.917057902973396,0.911267715487775,8.5989379
10,3,0.869,0.131,0.831858407079646,0.970740103270224,0.947204968944099,0.0527950310559007,0.895949166004766,0.889531688011873,8.637027
10,5,0.876666666666667,0.123333333333333,0.823376623376623,0.981424148606811,0.972093023255814,0.0279069767441861,0.895480225988701,0.897734823316219,6.7305593
10,5,0.876666666666667,0.123333333333333,0.829207920792079,0.985294117647059,0.974489795918367,0.0255102040816326,0.900537634408602,0.901848858355223,6.6418678
10,5,0.901666666666667,0.0983333333333334,0.874384236453202,0.977961432506887,0.958762886597938,0.0412371134020618,0.923276983094928,0.91657356152557,6.6244003
10,5,0.87,0.13,0.839598997493734,0.959885386819484,0.930348258706468,0.0696517412935324,0.89572192513369,0.884973628100101,6.5824114
10,5,0.858333333333333,0.141666666666667,0.821078431372549,0.965417867435158,0.9375,0.0625,0.887417218543046,0.879289215686274,6.5560262
10,10,0.893333333333333,0.106666666666667,0.863157894736842,0.964705882352941,0.945454545454545,0.0545454545454546,0.911111111111111,0.904306220095694,3.7572933
10,10,0.873333333333333,0.126666666666667,0.830769230769231,0.970059880239521,0.952380952380952,0.0476190476190477,0.895027624309392,0.891575091575092,3.7600024
10,10,0.873333333333333,0.126666666666667,0.819587628865979,0.981481481481482,0.971698113207547,0.0283018867924528,0.893258426966292,0.895642871036763,3.7670056
10,10,0.88,0.12,0.833333333333333,0.994318181818182,0.988888888888889,0.0111111111111111,0.906735751295337,0.911111111111111,3.775871
10,10,0.92,0.08,0.903381642512077,0.979057591623037,0.956989247311828,0.043010752688172,0.939698492462312,0.930185444911953,3.7513155
10,10,0.91,0.09,0.884422110552764,0.977777777777778,0.96039603960396,0.0396039603960396,0.928759894459103,0.922409075078362,3.774054
10,10,0.873333333333333,0.126666666666667,0.838235294117647,0.971590909090909,0.947916666666667,0.0520833333333334,0.9,0.893075980392157,3.8057778
10,10,0.89,0.11,0.876923076923077,0.95,0.914285714285714,0.0857142857142857,0.912,0.895604395604396,3.7727234
10,10,0.88,0.12,0.850746268656716,0.966101694915254,0.939393939393939,0.0606060606060606,0.904761904761905,0.895070104025328,3.7583998
10,10,0.88,0.12,0.864734299516908,0.957219251336898,0.913978494623656,0.0860215053763441,0.908629441624365,0.889356397070282,3.794274
