NN,N Folds,Accuracy,Error Rate,Sensitivty,Precision,Specificity,False Alarm Rate,F-Measures,AUC,Time
1,3,0.878,0.122,0.837209302325581,0.969479353680431,0.952112676056338,0.047887323943662,0.898502495840266,0.89466098919096,8.867562
1,3,0.881,0.119,0.849779086892489,0.971380471380471,0.947040498442368,0.0529595015576324,0.906520031421838,0.898409792667428,8.6897711
1,3,0.869,0.131,0.848082595870207,0.953565505804312,0.91304347826087,0.0869565217391305,0.897736143637783,0.880563037065538,8.4294588
1,5,0.888333333333333,0.111666666666667,0.849350649350649,0.973214285714286,0.958139534883721,0.0418604651162791,0.907073509015257,0.903745092117185,6.5900168
1,5,0.878333333333333,0.121666666666667,0.834158415841584,0.982507288629738,0.969387755102041,0.0306122448979592,0.902275769745649,0.901773085471813,6.6811139
1,5,0.891666666666667,0.108333333333333,0.862068965517241,0.974930362116992,0.95360824742268,0.0463917525773195,0.915032679738562,0.907838606469961,6.5982866
1,5,0.883333333333333,0.116666666666667,0.867167919799499,0.953168044077135,0.915422885572139,0.0845771144278606,0.908136482939633,0.891295402685819,6.5737688
1,5,0.861666666666667,0.138333333333333,0.838235294117647,0.952646239554318,0.911458333333333,0.0885416666666666,0.891786179921773,0.87484681372549,6.5986912
1,10,0.896666666666667,0.103333333333333,0.847368421052632,0.987730061349693,0.981818181818182,0.0181818181818182,0.912181303116147,0.914593301435407,3.7967637
1,10,0.876666666666667,0.123333333333333,0.846153846153846,0.959302325581395,0.933333333333333,0.0666666666666667,0.899182561307902,0.88974358974359,3.7656232
1,10,0.903333333333333,0.0966666666666667,0.865979381443299,0.982456140350877,0.971698113207547,0.0283018867924528,0.920547945205479,0.918838747325423,3.7855131
1,10,0.883333333333333,0.116666666666667,0.842857142857143,0.988826815642458,0.977777777777778,0.0222222222222223,0.910025706940874,0.91031746031746,3.7676803
1,10,0.89,0.11,0.859903381642512,0.978021978021978,0.956989247311828,0.043010752688172,0.915167095115681,0.90844631447717,3.7578291
1,10,0.9,0.1,0.879396984924623,0.966850828729282,0.940594059405941,0.0594059405940595,0.921052631578947,0.909995522165282,3.778881
1,10,0.886666666666667,0.113333333333333,0.867647058823529,0.96195652173913,0.927083333333333,0.0729166666666666,0.912371134020619,0.897365196078431,3.7611143
1,10,0.893333333333333,0.106666666666667,0.892307692307692,0.940540540540541,0.895238095238095,0.104761904761905,0.915789473684211,0.893772893772894,3.7799317
